order_id,customer_name,product,quantity,unit_price,order_date,region,total_price,order_month,product_category,has_missing_data
101,Alice,Laptop,1,900.0,2024-05-09,Central,1350.0,2024-05,Electronics,False
102,Unknown,Laptop,1,300.0,2024-05-07,Central,300.0,2024-05,Electronics,False
103,Unknown,Laptop,1,600.0,2024-05-04,Central,600.0,2024-05,Electronics,False
104,Unknown,Tablet,1,300.0,2024-05-26,Central,450.0,2024-05,Electronics,False
105,Heidi,Tablet,2,600.0,2024-05-21,North,1200.0,2024-05,Electronics,False
106,Unknown,Laptop,2,600.0,2024-05-18,Central,1200.0,2024-05,Electronics,False
107,Unknown,Tablet,1,600.0,2024-05-13,Central,600.0,2024-05,Electronics,False
108,Unknown,Laptop,1,600.0,2024-05-11,Central,900.0,2024-05,Electronics,False
109,Grace,Laptop,2,600.0,2024-05-29,Central,1200.0,2024-05,Electronics,False
110,Heidi,Phone,0,900.0,2024-05-24,North,0.0,2024-05,Electronics,False
